id;pic;pic_content_type;caption;milestone
1;../fake-data/blob/hipster.png;image/png;thick;M3
2;../fake-data/blob/hipster.png;image/png;nor aw toward;M2
3;../fake-data/blob/hipster.png;image/png;ouch near sermon;M3
4;../fake-data/blob/hipster.png;image/png;boohoo;M2
5;../fake-data/blob/hipster.png;image/png;acidly yearly;M1
6;../fake-data/blob/hipster.png;image/png;careless certification;M2
7;../fake-data/blob/hipster.png;image/png;pivot till;M2
8;../fake-data/blob/hipster.png;image/png;nor corral our;M1
9;../fake-data/blob/hipster.png;image/png;swelter;M2
10;../fake-data/blob/hipster.png;image/png;gladly;M1
