id;team_id;app_link;app_description;logo_pic;logo_pic_content_type;nick_name;slogan;votes
1;11300;downchange lumpy at;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;gosh hm severe;forenenst;5061
2;213;rubbery;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;yahoo medium toward;common calculating phew;3529
3;23654;kindheartedly scholarship;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;beside at without;where psst;24966
4;25842;lavish;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;furiously;how sweatshop;25977
5;32450;past finally;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;whether;junior pity;24691
6;16989;turret hollow noxious;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;commonly;ah contradict;13835
7;7;gosh pish;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;noted till fess;yet;31519
8;11746;how scotch;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;restructure suddenly;beside cram;8767
9;4916;rotating linear;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;sans transom weatherize;sharply;19988
10;28579;deck however separately;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;unselfish editor;arrange;4298
